X,Y,Z,ElapsedTime,LoopTime
0.00,0.12,-10.28,0.00,0.000
0.08,0.04,-10.04,0.01,0.012
0.16,-0.31,-9.65,0.02,0.012
-0.08,0.04,-9.61,0.04,0.012
0.04,0.04,-9.85,0.05,0.014
0.12,0.24,-10.12,0.06,0.012
0.12,0.31,-9.92,0.07,0.012
-0.20,0.08,-9.96,0.09,0.014
0.04,0.16,-10.20,0.10,0.012
0.39,0.20,-10.04,0.11,0.012
0.24,0.20,-10.08,0.12,0.013
0.04,0.00,-9.81,0.14,0.013
0.20,0.16,-9.89,0.15,0.013
0.27,-0.04,-9.81,0.16,0.012
0.08,0.31,-10.20,0.18,0.013
0.12,0.04,-9.92,0.19,0.012
0.04,0.00,-10.24,0.20,0.013
0.24,0.12,-10.04,0.21,0.013
0.08,0.04,-9.92,0.23,0.013
0.00,0.16,-9.77,0.24,0.012
0.00,-0.27,-9.81,0.25,0.012
0.00,0.00,-9.85,0.26,0.014
0.00,0.00,-9.89,0.28,0.012
-0.04,-0.16,-9.96,0.29,0.012
0.12,0.08,-10.00,0.30,0.013
0.04,0.20,-10.08,0.31,0.013
-0.16,0.04,-10.04,0.33,0.012
0.08,0.16,-10.04,0.34,0.012
0.12,0.04,-9.81,0.35,0.013
0.16,0.16,-10.12,0.36,0.012
0.51,0.16,-9.92,0.38,0.013
0.12,0.12,-10.00,0.39,0.013
0.00,0.00,-9.89,0.40,0.012
0.04,-0.04,-9.92,0.41,0.013
0.20,0.24,-10.24,0.43,0.013
0.04,0.08,-9.92,0.44,0.012
-0.12,0.27,-10.16,0.45,0.013
0.20,-0.08,-10.40,0.46,0.012
0.00,-0.12,-10.00,0.48,0.014
-0.04,0.12,-10.12,0.49,0.012
0.31,0.00,-9.96,0.50,0.012
0.16,0.12,-9.96,0.52,0.014
0.12,0.08,-9.92,0.53,0.012
-0.08,0.12,-10.20,0.54,0.012
-0.39,0.08,-9.69,0.56,0.014
-0.08,0.08,-9.92,0.57,0.012
0.00,0.16,-10.00,0.58,0.012
-0.04,0.51,-10.24,0.59,0.013
0.20,0.08,-10.00,0.61,0.013
0.12,0.04,-10.04,0.62,0.012
0.00,-0.27,-9.89,0.63,0.013
0.20,0.12,-10.00,0.64,0.013
0.12,0.12,-9.92,0.66,0.013
0.27,0.04,-9.81,0.67,0.012
0.04,-0.12,-10.12,0.68,0.012
0.24,0.12,-9.30,0.69,0.014
0.20,0.00,-9.89,0.71,0.012
-0.12,0.20,-9.92,0.72,0.012
0.00,0.16,-9.92,0.73,0.013
0.08,0.04,-9.96,0.74,0.013
0.08,0.20,-10.00,0.76,0.012
0.20,0.27,-10.47,0.77,0.013
