mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.027525997161865233,0.0032514106589729397,0.0017952442169189454,0.00039861217569849873,gini,10,10,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 10}",0.725,0.925,0.8375,0.775,0.825,0.8174999999999999,0.06689544080129828,199,0.996875,0.99375,0.996875,0.996875,1.0,0.996875,0.00197642353760523
0.04827547073364258,0.0016159460647062352,0.0023937225341796875,0.0004885193311393172,gini,10,20,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 20}",0.775,0.95,0.9,0.75,0.8,0.835,0.07681145747868606,196,1.0,1.0,0.996875,1.0,1.0,0.999375,0.0012500000000000178
0.06860470771789551,0.0007077477748097679,0.0033809185028076173,0.00047582630299372933,gini,10,30,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 30}",0.7875,0.9375,0.9,0.85,0.8625,0.8675,0.05037360419902472,166,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10172724723815918,0.015907128357404692,0.004985952377319336,0.0006303742974164906,gini,10,40,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 40}",0.85,0.925,0.9,0.8625,0.85,0.8774999999999998,0.03000000000000002,146,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.11928067207336426,0.011241867044625457,0.005185842514038086,0.00039887435409171316,gini,10,50,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 50}",0.7875,0.9375,0.9,0.9,0.9,0.885,0.05086747487343953,104,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1404043674468994,0.0034130452615909516,0.006183147430419922,0.0003988744680993653,gini,10,60,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 60}",0.825,0.95,0.925,0.8625,0.9,0.8925000000000001,0.04444097208657795,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1555772304534912,0.0014193034696695999,0.006786775588989258,0.0004015719848677322,gini,10,70,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 70}",0.825,0.95,0.9375,0.875,0.8625,0.89,0.04703721930556695,61,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.17950201034545898,0.0043469431673286985,0.007380294799804688,0.0004885777024277244,gini,10,80,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 80}",0.825,0.975,0.9,0.875,0.875,0.8899999999999999,0.04898979485566357,76,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.19807000160217286,0.0017390793649900403,0.007979011535644532,8.064048063892252e-07,gini,10,90,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 90}",0.7875,0.95,0.9125,0.875,0.875,0.8800000000000001,0.05396758286230725,120,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2190474033355713,0.0024709876077168786,0.009141778945922852,0.0004206075024813035,gini,10,100,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 100}",0.825,0.975,0.925,0.875,0.8875,0.8975,0.05024937810560446,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.032312870025634766,0.001017120942645376,0.0015976428985595703,0.0004896935373200697,gini,20,10,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 10}",0.775,0.9,0.8625,0.825,0.8,0.8324999999999999,0.04444097208657795,197,1.0,1.0,0.996875,0.99375,0.99375,0.996875,0.002795084971874727
0.07220635414123536,0.006512373282467073,0.002394294738769531,0.0004885388464116528,gini,20,20,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 20}",0.75,0.925,0.95,0.85,0.85,0.865,0.06999999999999999,171,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.11050925254821778,0.01324548688200023,0.004400062561035156,0.0013495281823140317,gini,20,30,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 30}",0.8125,0.925,0.925,0.825,0.825,0.8625,0.05123475382979802,175,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.13636631965637208,0.00922983147372654,0.004388236999511718,0.000797319476395285,gini,20,40,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 40}",0.8375,0.9625,0.9375,0.8625,0.8625,0.8924999999999998,0.04847679857416328,55,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.15837559700012208,0.0053290300314265794,0.004986953735351562,4.6231077741778654e-07,gini,20,50,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 50}",0.8375,0.95,0.925,0.825,0.8875,0.8850000000000001,0.04834769901453429,102,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.18391222953796388,0.004753805396316229,0.005984354019165039,2.3360154559928687e-07,gini,20,60,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 60}",0.7875,0.975,0.875,0.8625,0.8625,0.8724999999999999,0.05989574275355469,156,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2092404842376709,0.0023087177907000905,0.0065823554992675785,0.0004884025071128872,gini,20,70,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 70}",0.8,0.95,0.9375,0.8625,0.8875,0.8875,0.054198708471696964,78,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.24733777046203614,0.007667045800236663,0.0075795650482177734,0.0004884223715429262,gini,20,80,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 80}",0.85,0.925,0.9375,0.8375,0.85,0.8799999999999999,0.042278836313219416,133,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2700654029846191,0.0026257568641685023,0.00797896385192871,1.784161275279017e-07,gini,20,90,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 90}",0.8625,0.95,0.9,0.85,0.875,0.8875,0.03535533905932736,78,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3063933849334717,0.00803187349941083,0.009574413299560547,0.0007982261434389825,gini,20,100,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 100}",0.8375,0.975,0.9375,0.8625,0.8375,0.89,0.056124860801609104,61,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04008584022521973,0.0007371894199815781,0.0011973381042480469,0.00039887435409171316,gini,30,10,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 10}",0.775,0.9,0.8875,0.8,0.8375,0.8400000000000001,0.04834769901453428,195,0.99375,0.990625,1.0,0.99375,0.996875,0.9949999999999999,0.003186887195995488
0.07740025520324707,0.0013501755272571066,0.002592325210571289,0.0004892999622548895,gini,30,20,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 20}",0.75,0.9375,0.9125,0.875,0.8625,0.8675,0.0645174395028197,166,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.11528410911560058,0.001021862303715543,0.002992105484008789,1.784161275279017e-07,gini,30,30,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 30}",0.7875,0.9125,0.925,0.8375,0.85,0.8625,0.05062114182829148,175,1.0,1.0,1.0,0.996875,1.0,0.999375,0.0012500000000000178
0.15757765769958496,0.003623611849218139,0.004189109802246094,0.0003990650889209379,gini,30,40,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 40}",0.8,0.925,0.9375,0.85,0.875,0.8775000000000001,0.05024937810560445,134,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.19289050102233887,0.006071790860951551,0.005186653137207032,0.00039870805634229206,gini,30,50,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 50}",0.85,0.975,0.9375,0.8875,0.8875,0.9075000000000001,0.043732139211339754,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.22877798080444336,0.004114364849810129,0.005984163284301758,4.156969970265077e-07,gini,30,60,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 60}",0.825,0.9875,0.9375,0.8875,0.8625,0.9,0.05700877125495692,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2680831432342529,0.00363877668605073,0.0065823554992675785,0.0004883056640109445,gini,30,70,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 70}",0.8625,0.9625,0.9375,0.8875,0.8625,0.9025000000000001,0.04062019202317979,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3343051910400391,0.03236298622202498,0.007579994201660156,0.0004885777256966609,gini,30,80,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 80}",0.8375,0.975,0.9125,0.8375,0.875,0.8875,0.051841103383319286,78,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.35385704040527344,0.01732059191161348,0.008987092971801757,0.000630966841325187,gini,30,90,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 90}",0.8125,0.9625,0.925,0.8375,0.8625,0.8800000000000001,0.05567764362830023,120,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3839725971221924,0.004243767526968665,0.009380483627319336,0.0004956573885026766,gini,30,100,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 100}",0.8125,0.975,0.95,0.85,0.875,0.8925000000000001,0.0610327780786685,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04886817932128906,0.0008740771739931155,0.0017876625061035156,0.00039521824523303806,gini,40,10,"{'criterion': 'gini', 'max_features': 40, 'n_estimators': 10}",0.75,0.8875,0.925,0.8375,0.825,0.845,0.0594768862668516,191,0.990625,0.996875,1.0,1.0,0.996875,0.996875,0.0034232659844072966
0.09534425735473633,0.0013581275521398848,0.002197599411010742,0.0003974954878095459,gini,40,20,"{'criterion': 'gini', 'max_features': 40, 'n_estimators': 20}",0.8,0.9125,0.8875,0.8625,0.9,0.8724999999999999,0.03984344362627305,156,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1407559871673584,0.00278670765526404,0.0035905361175537108,0.0004886750732262974,gini,40,30,"{'criterion': 'gini', 'max_features': 40, 'n_estimators': 30}",0.85,0.9375,0.8625,0.85,0.875,0.875,0.032596012026013255,150,0.996875,1.0,1.0,1.0,1.0,0.999375,0.0012500000000000178
0.18554396629333497,0.002160422875631087,0.0043790340423583984,0.0007797485661967233,gini,40,40,"{'criterion': 'gini', 'max_features': 40, 'n_estimators': 40}",0.8375,0.975,0.9,0.85,0.8375,0.8800000000000001,0.05279678020485718,120,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2289863109588623,0.005729842989889128,0.004986715316772461,2.3360154559928684e-07,gini,40,50,"{'criterion': 'gini', 'max_features': 40, 'n_estimators': 50}",0.7875,0.9625,0.9375,0.8375,0.825,0.8699999999999999,0.0678232998312527,162,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.27486400604248046,0.004744984723323496,0.005784416198730468,0.0007469651358902547,gini,40,60,"{'criterion': 'gini', 'max_features': 40, 'n_estimators': 60}",0.8375,0.95,0.9125,0.85,0.9,0.89,0.0413823633931171,61,1.0,1.0,1.0,1.0,1.0,1.0,0.0
